Sex;Age;eReolen.dk;Filmstriben.dk;Litteratursiden.dk;Bibliotek.dk;Your local librarys website;The Biblioteket app;Other services
Sex, total;Age, total;25;23;7;16;18;9;4
Sex, total;16-24 years;21;23;3;22;21;9;6
Sex, total;25-34 years;26;16;1;15;20;13;5
Sex, total;35-44 years;27;15;2;13;17;11;4
Sex, total;45-54 years;16;12;1;8;13;6;2
Sex, total;55-64 years;15;10;2;10;18;6;4
Sex, total;65-74 years;12;8;3;7;15;6;1
Sex, total;75 years and over;;;;;;;
Men;Age, total;21;17;4;11;11;8;4
Men;16-24 years;15;20;1;17;14;3;5
Men;25-34 years;16;14;1;11;12;9;6
Men;35-44 years;20;17;2;11;9;7;6
Men;45-54 years;12;9;1;7;9;4;2
Men;55-64 years;11;11;1;8;14;6;3
Men;65-74 years;7;8;0;6;11;5;1
Men;75 years and over;;;;;;;
Women;Age, total;30;29;12;22;26;10;3
Women;16-24 years;28;27;4;27;28;14;6
Women;25-34 years;37;18;2;20;28;18;5
Women;35-44 years;33;13;2;15;23;14;3
Women;45-54 years;21;14;1;9;16;7;3
Women;55-64 years;19;10;3;13;22;7;4
Women;65-74 years;17;8;5;8;17;7;2
Women;75 years and over;;;;;;;
