Sex;Age;Local or regional commercial news media;Regional public service media;National commercial news media, nation wide news media or tv stations;National public service media;International news media
Sex, total;Age, total;36;50;46;76;29
Sex, total;16-24 years;35;48;41;80;32
Sex, total;25-34 years;35;52;33;78;21
Sex, total;35-44 years;43;57;40;80;24
Sex, total;45-54 years;43;63;38;72;17
Sex, total;55-64 years;46;68;37;63;10
Sex, total;65-74 years;47;62;41;54;12
Sex, total;75 years and over;;;;;
Men;Age, total;..;..;..;..;..
Men;16-24 years;34;51;44;77;45
Men;25-34 years;35;45;38;80;27
Men;35-44 years;40;56;47;81;32
Men;45-54 years;45;61;43;73;20
Men;55-64 years;45;64;44;64;11
Men;65-74 years;50;63;41;59;14
Men;75 years and over;;;;;
Women;Age, total;36;58;46;81;25
Women;16-24 years;36;46;38;83;18
Women;25-34 years;35;58;28;77;14
Women;35-44 years;45;58;32;78;15
Women;45-54 years;42;65;32;70;13
Women;55-64 years;47;72;31;63;9
Women;65-74 years;45;62;42;49;11
Women;75 years and over;;;;;
