Sex;Age;Live performances;TV;Live streaming;Streaming of pre-recorded performances;DVD or similar;YouTube or other video sharing services;The cinema;Other means
Sex, total;Age, total;40;22;4;10;2;20;12;2
Sex, total;16-24 years;49;17;3;19;4;23;7;2
Sex, total;25-34 years;44;21;4;12;3;15;7;2
Sex, total;35-44 years;53;27;6;9;2;13;7;2
Sex, total;45-54 years;43;29;4;7;2;13;6;2
Sex, total;55-64 years;40;40;4;6;3;10;9;2
Sex, total;65-74 years;32;41;1;6;5;7;12;3
Sex, total;75 years and over;;;;;;;;
Men;Age, total;29;18;5;9;1;18;10;2
Men;16-24 years;38;12;3;19;3;26;4;3
Men;25-34 years;38;22;6;10;3;19;4;1
Men;35-44 years;50;28;7;10;1;17;7;2
Men;45-54 years;37;27;5;8;3;14;4;1
Men;55-64 years;34;37;4;5;4;12;7;3
Men;65-74 years;28;37;1;5;7;12;8;3
Men;75 years and over;;;;;;;;
Women;Age, total;53;28;2;12;3;23;14;1
Women;16-24 years;58;21;2;18;4;20;9;1
Women;25-34 years;50;21;1;13;3;12;9;2
Women;35-44 years;58;26;4;8;2;9;6;2
Women;45-54 years;50;32;4;5;2;11;9;3
Women;55-64 years;44;43;4;7;2;8;11;2
Women;65-74 years;35;44;2;7;4;4;15;3
Women;75 years and over;;;;;;;;
