Sex;Age;Lecture or debate event;Night school;Cultural association;Private lessons;Other kind of education taking place during ones spare time;Scouting;Folk high school stay;Food festival;Cultural or civic gathering;Literature festival;Cultural festival;Other events
Sex, total;Age, total;22;4;13;8;5;3;4;8;5;2;15;19
Sex, total;16-24 years;24;3;10;4;2;2;3;10;7;3;15;23
Sex, total;25-34 years;20;6;11;4;2;4;1;12;5;2;13;25
Sex, total;35-44 years;26;4;10;5;1;2;1;8;5;1;11;26
Sex, total;45-54 years;26;4;13;3;2;2;2;5;5;1;7;29
Sex, total;55-64 years;32;7;16;4;1;1;4;3;5;1;6;25
Sex, total;65-74 years;31;5;14;3;0;1;7;2;7;1;3;25
Sex, total;75 years and over;;;;;;;;;;;;
Men;Age, total;20;3;12;6;6;4;1;4;6;1;17;23
Men;16-24 years;17;3;6;4;1;1;2;9;6;1;12;24
Men;25-34 years;18;7;9;2;3;3;0;14;6;2;14;29
Men;35-44 years;22;2;8;4;1;3;0;8;4;1;12;24
Men;45-54 years;21;2;10;2;1;3;1;6;3;0;6;27
Men;55-64 years;28;4;15;4;1;1;2;3;6;1;5;28
Men;65-74 years;29;3;14;2;1;2;2;1;7;1;1;22
Men;75 years and over;;;;;;;;;;;;
Women;Age, total;25;4;14;11;4;1;7;13;4;2;14;14
Women;16-24 years;30;4;13;4;3;2;3;11;8;5;18;23
Women;25-34 years;21;5;12;7;2;5;1;9;3;2;12;20
Women;35-44 years;30;6;11;6;2;2;2;8;6;2;10;27
Women;45-54 years;31;6;15;4;3;0;3;4;6;2;8;31
Women;55-64 years;36;10;17;3;2;1;6;4;4;2;6;22
Women;65-74 years;33;6;15;4;0;0;10;2;7;2;5;27
Women;75 years and over;;;;;;;;;;;;
